,peak_velocity,start_timestamp,end_x,eye,start_x,start_y,duration,length,end_y,end_timestamp
71,109.0,3577084.0,942.2,R,919.2,527.1,21.0,0.66,528.6,3577104.0
72,104.0,3577787.0,947.9,R,942.6,525.3,26.0,0.22,530.3,3577812.0
73,55.0,3578121.0,931.8,R,951.2,519.8,11.0,0.56,521.4,3578131.0
74,126.0,3578399.0,956.8,R,933.7,528.8,23.0,0.89,548.3,3578421.0
75,58.0,3578705.0,941.7,R,947.4,541.8,11.0,0.58,523.5,3578715.0
76,158.0,3580175.0,985.9,R,931.0,526.7,22.0,1.59,533.8,3580196.0
77,135.0,3580459.0,937.4,R,981.8,544.4,19.0,1.29,537.6,3580477.0
78,92.0,3580845.0,940.7,R,927.1,523.9,20.0,0.54,535.9,3580864.0
79,124.0,3581408.0,974.7,R,951.5,541.9,23.0,0.68,546.9,3581430.0
80,77.0,3582033.0,933.7,R,954.9,537.9,19.0,0.61,538.5,3582051.0
81,120.0,3582296.0,966.9,R,943.2,543.4,21.0,0.68,540.9,3582316.0
82,51.0,3582664.0,959.2,R,973.9,543.3,9.0,0.42,544.7,3582672.0
83,111.0,3582922.0,989.1,R,960.1,557.4,22.0,0.86,564.5,3582943.0
84,46.0,3583845.0,979.5,R,979.0,543.5,16.0,0.47,528.1,3583860.0
85,55.0,3584066.0,977.9,R,975.1,516.3,6.0,0.33,526.9,3584071.0
86,181.0,3584350.0,999.2,R,963.0,523.1,22.0,1.46,556.6,3584371.0
87,116.0,3584620.0,965.7,R,997.8,577.4,21.0,1.14,555.6,3584640.0
88,129.0,3584996.0,979.9,R,959.9,565.3,21.0,0.97,590.9,3585016.0
89,65.0,3585438.0,963.0,R,977.7,605.6,10.0,0.57,592.9,3585447.0
90,97.0,3585868.0,972.3,R,953.1,594.1,19.0,0.56,590.8,3585886.0
91,69.0,3587432.0,949.5,R,967.4,598.4,7.0,0.54,603.6,3587438.0
92,44.0,3587938.0,952.6,R,951.8,590.2,6.0,0.23,582.6,3587943.0
93,103.0,3588505.0,960.5,R,952.5,572.1,22.0,0.66,592.5,3588526.0
94,59.0,3588881.0,950.8,R,959.0,587.9,8.0,0.44,575.7,3588888.0
95,113.0,3589193.0,991.0,R,955.7,576.2,18.0,1.01,576.9,3589210.0
96,63.0,3589396.0,963.7,R,983.3,580.0,10.0,0.56,579.9,3589405.0
97,143.0,3590058.0,982.5,R,949.4,568.5,24.0,0.95,566.1,3590081.0
98,88.0,3590482.0,926.7,R,948.1,559.2,19.0,0.61,560.0,3590500.0
99,69.0,3590798.0,920.0,R,939.6,566.5,9.0,0.58,561.4,3590806.0
100,132.0,3591011.0,955.8,R,926.8,577.9,22.0,0.84,582.5,3591032.0
101,58.0,3591280.0,932.1,R,947.5,592.9,8.0,0.44,592.8,3591287.0
102,72.0,3591867.0,961.9,R,948.1,608.4,15.0,0.43,603.2,3591881.0
103,60.0,3592412.0,946.3,R,959.9,598.4,8.0,0.47,589.9,3592419.0
104,94.0,3592624.0,959.3,R,935.2,591.4,19.0,0.7,595.1,3592642.0
105,102.0,3593576.0,974.9,R,950.2,596.3,20.0,0.75,604.8,3593595.0
106,53.0,3593854.0,949.8,R,961.2,606.3,6.0,0.34,603.2,3593859.0
107,66.0,3594625.0,953.5,R,947.5,608.8,17.0,0.2,612.0,3594641.0
108,50.0,3595728.0,952.0,R,955.2,596.2,14.0,0.34,585.6,3595741.0
109,146.0,3596401.0,1003.5,R,952.0,590.2,20.0,1.48,595.0,3596420.0
110,152.0,3596707.0,943.1,R,995.1,592.6,19.0,1.5,588.5,3596725.0
111,138.0,3597566.0,929.3,R,922.1,583.7,27.0,0.87,611.2,3597592.0
112,69.0,3599439.0,958.2,R,949.9,525.2,15.0,0.57,508.1,3599453.0
113,63.0,3599860.0,983.6,R,976.8,536.6,17.0,0.24,541.1,3599876.0
114,60.0,3600659.0,940.0,R,955.6,556.6,9.0,0.48,550.8,3600667.0
115,149.0,3601307.0,962.0,R,932.4,572.9,22.0,0.89,581.6,3601328.0
116,67.0,3601511.0,940.5,R,958.4,567.9,8.0,0.52,566.0,3601518.0
117,2006.0,3602417.0,904.5,R,940.2,578.7,224.0,2.06,637.3,3602640.0
118,2545.0,3602717.0,920.6,R,915.2,596.4,123.0,0.84,569.4,3602839.0
119,1475.0,3602886.0,979.3,R,917.4,558.0,119.0,2.02,589.9,3603004.0
120,67.0,3603674.0,947.5,R,956.8,609.2,15.0,0.52,623.7,3603688.0
121,130.0,3604219.0,952.6,R,927.4,587.4,22.0,0.74,593.0,3604240.0
122,101.0,3607661.0,928.7,R,929.2,538.7,24.0,0.54,520.9,3607684.0
123,91.0,3608245.0,926.0,R,920.3,539.6,20.0,0.19,536.2,3608264.0
124,85.0,3608460.0,925.0,R,918.0,528.4,21.0,0.73,551.2,3608480.0
125,57.0,3608970.0,924.3,R,939.1,562.6,7.0,0.42,563.5,3608976.0
126,112.0,3609209.0,927.5,R,922.8,555.4,28.0,0.46,569.9,3609236.0
127,121.0,3609639.0,951.2,R,933.9,572.7,24.0,0.63,585.5,3609662.0
128,133.0,3609969.0,982.7,R,943.1,588.0,22.0,1.15,594.3,3609990.0
129,73.0,3610168.0,959.1,R,983.3,595.8,12.0,0.7,593.3,3610179.0
130,126.0,3610876.0,955.5,R,931.9,594.6,22.0,0.68,592.6,3610897.0
131,57.0,3612374.0,959.8,R,958.1,572.6,17.0,0.18,578.3,3612390.0
132,107.0,3612687.0,974.4,R,950.4,586.5,19.0,0.69,584.5,3612705.0
133,90.0,3612943.0,945.2,R,969.2,572.0,19.0,0.69,569.4,3612961.0
134,102.0,3613338.0,948.4,R,945.0,576.4,28.0,0.55,594.1,3613365.0
135,123.0,3613647.0,983.0,R,948.6,589.0,20.0,1.0,584.3,3613666.0
136,64.0,3613868.0,951.2,R,968.9,592.1,9.0,0.53,587.3,3613876.0
137,78.0,3614165.0,952.4,R,944.6,581.6,18.0,0.31,588.4,3614182.0
138,64.0,3615064.0,942.4,R,960.9,586.4,10.0,0.58,578.9,3615073.0
139,128.0,3615302.0,958.5,R,927.8,571.5,22.0,0.91,578.8,3615323.0
140,131.0,3615787.0,989.3,R,945.5,595.1,19.0,1.26,600.2,3615805.0
141,94.0,3616080.0,935.3,R,965.8,610.0,14.0,0.89,604.7,3616093.0
142,126.0,3616401.0,958.8,R,934.5,597.5,23.0,0.75,606.6,3616423.0
143,66.0,3616633.0,929.1,R,948.9,596.5,10.0,0.57,596.5,3616642.0
144,96.0,3617659.0,930.7,R,909.4,581.4,19.0,0.67,572.2,3617677.0
145,69.0,3618053.0,920.2,R,917.1,572.8,19.0,0.43,586.7,3618071.0
146,54.0,3618510.0,947.0,R,944.5,599.2,17.0,0.47,583.9,3618526.0
147,66.0,3619238.0,947.7,R,947.4,603.8,17.0,0.76,628.5,3619254.0
148,68.0,3620047.0,948.3,R,940.7,608.1,17.0,0.27,603.0,3620063.0
149,53.0,3620460.0,937.0,R,949.1,586.4,7.0,0.35,586.7,3620466.0
150,108.0,3620765.0,955.9,R,941.0,593.2,22.0,0.43,594.2,3620786.0
151,104.0,3621361.0,937.9,R,953.2,600.7,18.0,0.47,595.6,3621378.0
152,161.0,3621784.0,939.0,R,910.9,590.6,26.0,0.92,605.2,3621809.0
153,108.0,3622403.0,888.4,R,930.1,608.1,18.0,1.2,606.8,3622420.0
154,162.0,3623118.0,942.4,R,905.8,592.2,30.0,1.08,600.5,3623147.0
155,52.0,3624048.0,918.4,R,928.8,578.2,9.0,0.39,570.2,3624056.0
156,128.0,3624647.0,950.7,R,914.7,573.0,22.0,1.05,579.6,3624668.0
157,49.0,3625078.0,960.5,R,948.5,591.5,13.0,0.41,599.0,3625090.0
158,138.0,3625331.0,928.9,R,966.6,600.0,21.0,1.15,587.5,3625351.0
159,97.0,3625660.0,940.9,R,933.5,596.1,23.0,0.64,616.0,3625682.0
160,105.0,3626167.0,952.0,R,942.7,612.3,26.0,0.67,632.3,3626192.0
161,77.0,3626538.0,950.8,R,946.5,605.8,12.0,0.66,584.5,3626549.0
162,76.0,3626766.0,934.5,R,956.7,597.3,10.0,0.66,591.9,3626775.0
163,3257.0,3627314.0,938.7,R,930.1,588.1,216.0,3.37,698.1,3627529.0
164,236.0,3627697.0,929.0,R,952.9,675.4,23.0,2.37,601.3,3627719.0
165,112.0,3627985.0,953.2,R,936.2,628.2,20.0,0.49,625.4,3628004.0
166,90.0,3628477.0,945.5,R,965.5,610.5,22.0,0.66,621.0,3628498.0
167,140.0,3628724.0,976.3,R,939.5,610.4,22.0,1.06,614.7,3628745.0
168,76.0,3628989.0,952.8,R,970.6,596.0,17.0,0.51,593.7,3629005.0
169,162.0,3629539.0,972.2,R,938.6,578.3,23.0,0.96,577.1,3629561.0
170,96.0,3629767.0,939.7,R,966.7,579.1,16.0,0.79,574.4,3629782.0
171,70.0,3630207.0,918.3,R,928.2,594.4,19.0,0.34,588.2,3630225.0
172,115.0,3630538.0,931.1,R,919.9,574.9,22.0,0.52,588.2,3630559.0
173,104.0,3630978.0,946.5,R,944.7,595.8,24.0,0.22,588.8,3631001.0
174,79.0,3631424.0,938.3,R,948.6,566.6,10.0,0.68,586.5,3631433.0
175,112.0,3631960.0,983.7,R,959.8,602.0,21.0,0.73,594.0,3631980.0
176,103.0,3632202.0,952.5,R,985.7,602.4,18.0,1.02,614.7,3632219.0
177,97.0,3632621.0,978.7,R,958.2,612.8,20.0,0.67,602.4,3632640.0
178,93.0,3632975.0,950.9,R,972.2,603.2,16.0,0.68,613.2,3632990.0
179,159.0,3633562.0,992.0,R,937.9,605.8,19.0,1.55,609.5,3633580.0
180,125.0,3633753.0,941.9,R,984.6,605.6,20.0,1.22,605.6,3633772.0
181,133.0,3634172.0,959.0,R,938.3,617.3,23.0,0.67,627.4,3634194.0
182,121.0,3634369.0,902.2,R,946.1,622.5,16.0,1.28,614.1,3634384.0
183,186.0,3634672.0,964.8,R,901.7,601.6,21.0,1.81,599.4,3634692.0
184,104.0,3636353.0,912.2,R,947.9,598.2,16.0,1.06,588.8,3636368.0
185,93.0,3636603.0,951.7,R,929.2,581.5,18.0,0.66,577.5,3636620.0
186,50.0,3637200.0,946.0,R,949.0,621.2,7.0,0.35,632.2,3637206.0
187,70.0,3637539.0,956.2,R,954.9,627.1,16.0,0.34,616.0,3637554.0
188,97.0,3638474.0,966.0,R,944.6,620.3,18.0,0.64,626.7,3638491.0
189,86.0,3638879.0,968.1,R,949.7,615.7,22.0,0.53,617.6,3638900.0
190,60.0,3639293.0,951.4,R,962.4,620.1,8.0,0.39,627.5,3639300.0
191,100.0,3639707.0,981.0,R,947.1,640.2,17.0,0.97,639.1,3639723.0
192,106.0,3640837.0,975.9,R,956.0,631.9,21.0,0.57,630.7,3640857.0
193,57.0,3641598.0,937.0,R,950.6,615.8,9.0,0.49,625.6,3641606.0
194,126.0,3641977.0,972.2,R,939.5,618.8,23.0,0.95,623.2,3641999.0
195,82.0,3642431.0,947.5,R,976.6,606.5,14.0,0.83,605.8,3642444.0
196,115.0,3642675.0,983.7,R,955.7,607.8,22.0,0.8,607.8,3642696.0
197,216.0,3643423.0,866.3,R,955.6,625.5,24.0,2.56,629.7,3643446.0
198,196.0,3643699.0,951.5,R,880.6,625.2,21.0,2.06,637.2,3643719.0
199,104.0,3644099.0,971.6,R,939.0,640.4,16.0,0.99,629.2,3644114.0
200,100.0,3645045.0,974.0,R,949.4,627.2,19.0,0.71,626.7,3645063.0
201,134.0,3645353.0,913.7,R,963.1,628.4,21.0,1.44,620.6,3645373.0
202,166.0,3645600.0,967.6,R,926.1,605.5,24.0,1.23,616.0,3645623.0
203,66.0,3645936.0,931.7,R,956.0,619.9,12.0,0.74,627.8,3645947.0
204,88.0,3646567.0,928.8,R,909.7,619.7,20.0,0.57,614.8,3646586.0
205,94.0,3647724.0,950.2,R,926.9,601.0,20.0,0.67,600.2,3647743.0
206,78.0,3648961.0,970.4,R,965.9,604.7,18.0,0.15,607.1,3648978.0
207,158.0,3649277.0,990.3,R,960.3,601.7,26.0,0.9,610.0,3649302.0
208,68.0,3649466.0,967.0,R,986.2,606.2,9.0,0.55,604.8,3649474.0
209,54.0,3649809.0,963.8,R,972.7,617.1,6.0,0.29,621.5,3649814.0
210,130.0,3650992.0,971.7,R,957.7,616.4,22.0,0.77,637.9,3651013.0
211,98.0,3651969.0,940.5,R,962.4,640.9,18.0,0.64,637.7,3651986.0
212,116.0,3652127.0,965.1,R,933.9,631.3,21.0,0.9,633.8,3652147.0
213,59.0,3652511.0,958.4,R,961.7,632.6,14.0,0.37,644.3,3652524.0
214,45.0,3653137.0,949.0,R,955.0,625.8,6.0,0.37,615.2,3653142.0
215,61.0,3653369.0,948.4,R,949.0,622.3,15.0,0.4,635.4,3653383.0
216,110.0,3653653.0,962.9,R,939.1,624.2,22.0,0.85,640.7,3653674.0
217,110.0,3654617.0,970.1,R,945.1,640.3,18.0,0.72,642.2,3654634.0
218,116.0,3654878.0,934.4,R,967.0,627.2,22.0,0.96,634.7,3654899.0
219,122.0,3655176.0,962.4,R,940.6,626.1,24.0,0.78,641.4,3655199.0
220,86.0,3655498.0,925.3,R,956.1,631.3,14.0,0.92,622.6,3655511.0
221,94.0,3655742.0,949.7,R,928.1,623.8,19.0,0.62,626.1,3655760.0
222,104.0,3656122.0,967.1,R,945.6,626.8,18.0,0.67,635.1,3656139.0
223,146.0,3656513.0,918.3,R,976.8,630.2,19.0,1.69,622.1,3656531.0
224,170.0,3656782.0,978.3,R,932.5,616.4,21.0,1.32,622.0,3656802.0
225,75.0,3657399.0,950.5,R,975.9,629.3,19.0,0.8,639.9,3657417.0
226,99.0,3657702.0,968.2,R,955.4,643.7,20.0,0.48,633.8,3657721.0
227,72.0,3657987.0,957.9,R,974.1,640.8,10.0,0.64,655.0,3657996.0
228,118.0,3658441.0,974.2,R,951.1,641.6,22.0,0.79,655.8,3658462.0
229,71.0,3658867.0,968.7,R,958.6,645.1,13.0,0.56,629.6,3658879.0
230,87.0,3659390.0,932.4,R,959.4,621.3,14.0,0.97,640.5,3659403.0
231,119.0,3660155.0,948.1,R,930.9,620.4,22.0,0.57,611.1,3660176.0
232,90.0,3661701.0,926.0,R,898.4,585.2,15.0,0.8,589.6,3661715.0
233,90.0,3663421.0,953.4,R,947.7,613.1,21.0,0.23,618.4,3663441.0
234,53.0,3663640.0,933.2,R,941.0,614.6,8.0,0.4,603.6,3663647.0
235,92.0,3663847.0,956.2,R,941.4,588.7,20.0,0.56,600.5,3663866.0
236,81.0,3664557.0,973.8,R,964.9,623.1,17.0,0.27,620.7,3664573.0
237,67.0,3664820.0,962.3,R,979.7,618.6,19.0,0.5,616.1,3664838.0
238,86.0,3665046.0,983.1,R,955.1,614.4,11.0,0.8,616.4,3665056.0
239,73.0,3665342.0,973.9,R,959.4,610.2,11.0,0.61,624.9,3665352.0
240,128.0,3665864.0,987.8,R,953.5,622.7,20.0,1.01,629.7,3665883.0
241,60.0,3666251.0,950.4,R,966.9,628.3,8.0,0.47,627.5,3666258.0
242,122.0,3666560.0,911.1,R,948.2,617.9,16.0,1.07,620.2,3666575.0
243,119.0,3666778.0,953.9,R,921.6,611.3,22.0,0.97,620.7,3666799.0
244,83.0,3667597.0,992.8,R,967.4,625.0,11.0,0.77,633.7,3667607.0
245,97.0,3667826.0,952.6,R,984.6,628.6,11.0,0.92,625.9,3667836.0
246,149.0,3668045.0,989.5,R,950.2,629.6,21.0,1.13,634.0,3668065.0
247,64.0,3668501.0,951.9,R,966.7,613.6,8.0,0.49,605.3,3668508.0
248,63.0,3668894.0,947.5,R,951.5,605.9,10.0,0.56,623.9,3668903.0
249,104.0,3669461.0,973.8,R,950.5,622.4,20.0,0.7,629.1,3669480.0
250,97.0,3669862.0,997.4,R,971.4,626.3,16.0,1.0,648.3,3669877.0
251,202.0,3670216.0,916.1,R,985.7,631.0,24.0,2.05,614.8,3670239.0
252,149.0,3670446.0,974.8,R,929.7,611.4,21.0,1.37,626.1,3670466.0
253,140.0,3671003.0,1015.0,R,971.2,638.9,18.0,1.26,641.7,3671020.0
254,358.0,3671685.0,866.9,R,992.3,624.1,25.0,3.67,599.4,3671709.0
255,242.0,3671940.0,952.3,R,875.2,600.6,20.0,2.33,624.7,3671959.0
256,74.0,3672781.0,972.9,R,955.5,604.0,11.0,0.71,587.7,3672791.0
257,50.0,3673906.0,942.9,R,952.4,569.6,6.0,0.29,572.8,3673911.0
258,151.0,3674313.0,980.8,R,938.3,597.8,22.0,1.22,601.7,3674334.0
259,88.0,3674745.0,964.0,R,991.2,568.0,12.0,0.8,561.5,3674756.0
260,52.0,3675130.0,953.9,R,965.6,595.6,5.0,0.36,600.1,3675134.0
261,182.0,3675524.0,999.3,R,954.9,577.6,23.0,1.3,585.7,3675546.0
262,136.0,3675759.0,945.6,R,995.1,578.9,20.0,1.42,578.6,3675778.0
263,184.0,3676076.0,1008.1,R,945.5,595.4,21.0,1.81,603.4,3676096.0
264,103.0,3676359.0,966.4,R,1001.2,598.7,16.0,1.01,593.5,3676374.0
265,66.0,3676688.0,950.6,R,969.0,596.6,9.0,0.53,595.8,3676696.0
266,321.0,3676906.0,1038.0,R,949.8,593.0,42.0,2.54,602.4,3676947.0
267,321.0,3677123.0,929.1,R,1049.0,583.0,26.0,3.44,584.2,3677148.0
268,123.0,3677424.0,972.3,R,951.0,587.5,21.0,0.62,584.6,3677444.0
269,83.0,3678044.0,984.6,R,958.0,581.0,10.0,0.77,585.2,3678053.0
270,148.0,3678333.0,1048.1,R,970.6,590.6,35.0,2.31,610.9,3678367.0
271,288.0,3678565.0,958.5,R,1028.8,610.3,32.0,2.09,592.6,3678596.0
272,91.0,3679214.0,974.4,R,959.1,594.2,18.0,0.52,603.4,3679231.0
273,304.0,3679453.0,1063.5,R,970.8,590.0,24.0,2.67,599.0,3679476.0
274,273.0,3679727.0,951.9,R,1052.8,600.6,24.0,2.93,584.6,3679750.0
275,102.0,3680223.0,973.8,R,953.8,590.3,20.0,0.6,596.2,3680242.0
276,63.0,3680793.0,981.8,R,968.7,596.6,15.0,0.43,589.9,3680807.0
277,64.0,3681515.0,941.3,R,967.0,584.9,15.0,0.74,584.2,3681529.0
